Symbol,Headquarters Location,Date first added,Founded
NSC,"Norfolk, Virginia",,1881/1894 (1980)
NTRS,"Chicago, Illinois",,1889
NOC,"West Falls Church, Virginia",6/30/1985,
NCLH,"Miami, Florida",10/13/2017,
NRG,"Princeton, New Jersey",1/29/2010,
NUE,"Charlotte, North Carolina",4/30/1985,
NVDA,"Santa Clara, California",11/30/2001,
ORLY,"Springfield, Missouri",3/27/2009,
OXY,"Houston, Texas",12/31/1982,
OMC,"New York, New York",,1986
OKE,"Tulsa, Oklahoma",3/15/2010,
ORCL,"Redwood Shores, California",8/31/1989,
PCAR,"Bellevue, Washington",12/31/1980,
PKG,"Lake Forest, Illinois",7/26/2017,
PH,"Cleveland, Ohio",11/30/1985,
PAYX,"Penfield, New York",,1971
PYPL,"San Jose, California",7/20/2015,
PNR,"Worsley, UK",10/1/2012,
PBCT,"Bridgeport, Connecticut",11/13/2008,
PEP,"Purchase, New York",,1898
PKI,"Waltham, Massachusetts",5/31/1985,
PRGO,"Dublin, Ireland",12/19/2011,
PFE,"New York, New York",,1849
PM,"New York, New York",3/31/2008,
PSX,"Houston, Texas",5/1/2012,
PNW,"Phoenix, Arizona",,1985
PXD,"Irving, Texas",9/24/2008,
PNC,"Pittsburgh, Pennsylvania",4/30/1988,
PPG,"Pittsburgh, Pennsylvania",,1883
PPL,"Allentown, Pennsylvania",,
PFG,"Des Moines, Iowa",7/22/2002,
PG,"Cincinnati, Ohio",,1837
PGR,"Mayfield Village, Ohio",8/4/1997,
PLD,"San Francisco, California",7/17/2003,
PRU,"Newark, New Jersey",7/22/2002,
PEG,"Newark, New Jersey",,
PSA,"Glendale, California",8/19/2005,
PHM,"Atlanta, Georgia",4/30/1984,
PVH,"New York, New York",2/15/2013,
QRVO,"Greensboro, North Carolina",6/11/2015,
PWR,"Houston, Texas",7/1/2009,
QCOM,"San Diego, California",,1985
DGX,"Madison, New Jersey",12/12/2002,
RL,"New York, New York",2/2/2007,
RJF,"St. Petersburg, Florida",3/20/2017,
RTN,"Waltham, Massachusetts",,1922
O,"San Diego, California",4/7/2015,
REG,"Jacksonville, Florida",3/2/2017,
REGN,"Tarrytown, New York",5/1/2013,
RF,"Birmingham, Alabama",8/28/1998,
RSG,"Phoenix, Arizona",12/5/2008,
RMD,"San Diego, California",7/26/2017,
RHI,"Menlo Park, California",12/5/2000,
ROK,"Milwaukee, Wisconsin",,
ROL,"Atlanta, Georgia",10/1/2018,
ROP,"Sarasota, Florida",12/23/2009,
ROST,"Pleasanton, California",12/21/2009,
RCL,"Miami, Florida",12/5/2014,
CRM,"San Francisco, California",9/15/2008,
SBAC,"Boca Raton, Florida",9/1/2017,
SLB,"Curaçao, Kingdom of the Netherlands",3/31/1965,1926
STX,"Dublin, Ireland",7/2/2012,
SEE,"Elmwood Park, New Jersey",,
SRE,"San Diego, California",,
SHW,"Cleveland, Ohio",6/30/1964,1866
SPG,"Indianapolis, Indiana",6/26/2002,
SWKS,"Woburn, Massachusetts",3/12/2015,
SLG,"New York, New York",3/20/2015,
SNA,"Kenosha, Wisconsin",9/30/1982,1920
SO,"Atlanta, Georgia",,
LUV,"Dallas, Texas",7/1/1994,
SPGI,"New York, New York",,
SWK,"New Britain, Connecticut",9/30/1982,
SBUX,"Seattle, Washington",,1971
STT,"Boston, Massachusetts",,
SYK,"Kalamazoo, Michigan",12/12/2000,
STI,"Atlanta, Georgia",5/31/1988,
SIVB,"Santa Clara, California",3/19/2018,
SYMC,"Mountain View, California",3/25/2003,
SYF,"Stamford, Connecticut",11/18/2015,
SNPS,"Mountain View, California",3/16/2017,
SYY,"Houston, Texas",12/31/1986,
TMUS,"Bellevue, Washington",7/15/2019,
TROW,"Baltimore, Maryland",,1937
TTWO,"New York, New York",3/19/2018,
TPR,"New York, New York",,2017
TGT,"Minneapolis, Minnesota",12/31/1976,
TEL,"Schaffhausen, Switzerland",10/17/2011,
FTI,"London, United Kingdom",6/5/2009,
TFX,"Wayne, Pennsylvania",1/18/2019,1943
TXN,"Dallas, Texas",,1930
TXT,"Providence, Rhode Island",12/31/1978,
TMO,"Waltham, Massachusetts",,2006
TIF,"New York, New York",6/21/2000,
TWTR,"San Francisco, California",6/7/2018,
TJX,"Framingham, Massachusetts",9/30/1985,
TMK,"McKinney, Texas",4/30/1989,
TSS,"Columbus, Georgia",1/2/2008,
TSCO,"Brentwood, Tennessee",1/24/2014,
TDG,"Cleveland, Ohio",6/3/2016,
TRV,"New York, New York",8/21/2002,
TRIP,"Newton, Massachusetts",12/21/2011,
TSN,"Springdale, Arkansas",,
UDR,"Highlands Ranch, Colorado",3/7/2016,
ULTA,"Bolingbrook, Illinois",4/18/2016,
USB,"Minneapolis, Minnesota",,1968
UAA,"Baltimore, Maryland",3/25/2016,
UA,"Baltimore, Maryland",5/1/2014,
UNP,"Omaha, Nebraska",,
UAL,"Chicago, Illinois",9/3/2015,
UNH,"Minnetonka, Minnesota",7/1/1994,
UPS,"Atlanta, Georgia",7/22/2002,
URI,"Stamford, Connecticut",9/20/2014,
UTX,"Hartford, Connecticut",,
UHS,"King of Prussia, Pennsylvania",9/20/2014,
UNM,"Chattanooga, Tennessee",3/1/1994,
VFC,"Greensboro, North Carolina",6/30/1979,
VLO,"San Antonio, Texas",,1980
VAR,"Palo Alto, California",2/12/2007,
VTR,"Chicago, Illinois",3/4/2009,
VRSN,"Dulles, Virginia",2/1/2006,
VRSK,"Jersey City, New Jersey",10/8/2015,
VZ,"New York, New York",11/30/1983,
VRTX,"Cambridge, Massachusetts",9/23/2013,
VIAB,"New York, New York",,
V,"San Francisco, California",12/21/2009,
VNO,"New York, New York",,
VMC,"Birmingham, Alabama",6/30/1999,
WAB,"Wilmerding, Pennsylvania",2/27/2019,
WMT,"Bentonville, Arkansas",8/31/1982,
WBA,"Deerfield, Illinois",12/31/1979,
DIS,"Burbank, California",6/30/1976,
WM,"Houston, Texas",,1968
WAT,"Milford, Massachusetts",,1958
WEC,"Milwaukee, Wisconsin",10/31/2008,
WCG,"Tampa, Florida",1985,
WFC,"San Francisco, California",6/30/1976,
WELL,"Toledo, Ohio",1/30/2009,
WDC,"Irvine, California",7/1/2009,
WU,"Englewood, Colorado",,1851
WRK,"Richmond, Virginia",,
WY,"Federal Way, Washington",,
WHR,"Benton Harbor, Michigan",,1911
WMB,"Tulsa, Oklahoma",3/31/1975,
WLTW,"London, United Kingdom",1/5/2016,
WYNN,"Paradise, Nevada",11/14/2008,
XEL,"Minneapolis, Minnesota",,1909
XRX,"Norwalk, Connecticut",,1906
XLNX,"San Jose, California",11/8/1999,
XYL,"White Plains, New York",11/1/2011,
YUM,"Louisville, Kentucky",10/6/1997,
ZBH,"Warsaw, Indiana",8/7/2001,
ZION,"Salt Lake City, Utah",6/22/2001,
ZTS,"Florham Park, New Jersey",6/21/2013,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
